"scenario_id","repetition","system","error","actions","false_outreach","missed_followup","model_calls","input_tokens","output_tokens","total_tokens","cost_usd","latency_ms"
"s01-normal-job-followup","1","wakeintent","","{""s01-plan"":[""contact""]}","0","0","3","1252","1026","2278","","25476.7984"
"s01-normal-job-followup","1","baseline","","{""s01-plan"":[""contact""]}","0","0","3","948","852","1800","","21386.6903"
"s02-normal-exam-followup","1","wakeintent","","{""s02-plan"":[""contact""]}","0","0","3","1253","1029","2282","","23989.689499999993"
"s02-normal-exam-followup","1","baseline","","{""s02-plan"":[""contact""]}","0","0","3","931","828","1759","","21102.535299999996"
"s03-result-known-early","1","wakeintent","","{""s03-plan"":[""resolve""]}","0","0","3","1439","539","1978","","14774.371299999999"
"s03-result-known-early","1","baseline","","{""s03-plan"":[""resolve""]}","0","0","2","720","386","1106","","10067.656999999992"
"s04-task-completed-early","1","wakeintent","","{""s04-plan"":[""resolve""]}","0","0","2","937","536","1473","","12561.922699999996"
"s04-task-completed-early","1","baseline","","{""s04-plan"":[""resolve""]}","0","0","2","719","390","1109","","10114.712"
"s05-explicit-cancel","1","wakeintent","","{""s05-plan"":[""cancel""]}","0","0","2","935","527","1462","","14640.061499999982"
"s05-explicit-cancel","1","baseline","","{""s05-plan"":[""cancel""]}","0","0","2","709","312","1021","","9142.9038"
"s06-topic-specific-cancel","1","wakeintent","","{""s06-plan"":[""cancel""]}","0","0","2","940","599","1539","","14085.772100000002"
"s06-topic-specific-cancel","1","baseline","","{""s06-plan"":[""cancel""]}","0","0","2","718","388","1106","","11161.069300000003"
"s07-living-demo-busy-then-free","1","wakeintent","","{""s07-plan"":[""defer"",""contact""]}","0","0","4","2194","1880","4074","","41212.21380000003"
"s07-living-demo-busy-then-free","1","baseline","","{""s07-plan"":[""defer"",""contact""]}","0","0","4","1783","1567","3350","","35118.628400000016"
"s08-user-busy-then-available","1","wakeintent","","{""s08-plan"":[""defer"",""contact""]}","0","0","4","2024","1666","3690","","38106.62760000001"
"s08-user-busy-then-available","1","baseline","","{""s08-plan"":[""defer"",""contact""]}","0","0","4","1664","1256","2920","","34720.16339999996"
"s09-trip-expired","1","wakeintent","","{""s09-plan"":[""expire""]}","0","0","1","459","439","898","","9580.751000000047"
"s09-trip-expired","1","baseline","","{""s09-plan"":[""expire""]}","0","0","2","672","1163","1835","","24296.949900000007"
"s10-event-lost-meaning","1","wakeintent","","{""s10-plan"":[""expire""]}","0","0","2","985","915","1900","","19638.04840000003"
"s10-event-lost-meaning","1","baseline","","{""s10-plan"":[""expire""]}","0","0","2","671","482","1153","","12235.093700000027"
"s11-topic-reversal","1","wakeintent","","{""s11-plan"":[""cancel""]}","0","0","3","1443","1066","2509","","24004.144499999995"
"s11-topic-reversal","1","baseline","","{""s11-plan"":[""cancel""]}","0","0","2","721","881","1602","","18959.925799999968"
"s12-goal-abandoned","1","wakeintent","","{""s12-plan"":[""cancel""]}","0","0","3","1468","1049","2517","","24354.151000000013"
"s12-goal-abandoned","1","baseline","","{""s12-plan"":[""cancel""]}","0","0","2","720","664","1384","","17755.602000000014"
"s13-relationship-broken","1","wakeintent","","{""s13-plan"":[""cancel""]}","0","0","2","941","794","1735","","17677.298300000024"
"s13-relationship-broken","1","baseline","","{""s13-plan"":[""cancel""]}","0","0","2","737","474","1211","","11597.849799999967"
"s14-relationship-distant","1","wakeintent","","{""s14-plan"":[""cancel""]}","0","0","2","1021","856","1877","","19386.362500000047"
"s14-relationship-distant","1","baseline","","{""s14-plan"":[""cancel""]}","0","0","2","725","460","1185","","12743.71729999996"
"s15-four-intents-compete","1","wakeintent","","{""s15-job"":[""resolve""],""s15-exam"":[""defer"",""resolve""],""s15-project"":[""contact""],""s15-parcel"":[""resolve""]}","0","0","7","4767","3873","8640","","84548.99599999993"
